actor,domain,option_a_id,option_b_id,probability_a,count_a,count_b,total_responses,split
deepseek-v3.2-or,religions,13,115,0.75,15,5,20,train
deepseek-v3.2-or,religions,63,93,0.1,2,18,20,train
deepseek-v3.2-or,religions,19,163,0.25,5,15,20,train
deepseek-v3.2-or,religions,25,110,0.25,5,15,20,train
deepseek-v3.2-or,religions,12,60,0.85,17,3,20,train
deepseek-v3.2-or,religions,106,154,0.9,18,2,20,train
deepseek-v3.2-or,religions,91,101,0,0,20,20,train
deepseek-v3.2-or,religions,37,153,0.25,5,15,20,train
deepseek-v3.2-or,religions,65,68,0,0,20,20,train
deepseek-v3.2-or,religions,88,102,0,0,20,20,train
deepseek-v3.2-or,religions,102,147,0.8,16,4,20,train
deepseek-v3.2-or,religions,10,77,0,0,20,20,train
deepseek-v3.2-or,religions,39,122,0.75,15,5,20,train
deepseek-v3.2-or,religions,80,136,0.2,4,16,20,train
deepseek-v3.2-or,religions,49,69,1,20,0,20,train
deepseek-v3.2-or,religions,0,143,0.2,4,16,20,train
deepseek-v3.2-or,religions,63,131,0.05,1,19,20,train
deepseek-v3.2-or,religions,52,158,0.9,18,2,20,train
deepseek-v3.2-or,religions,126,140,0.9,18,2,20,train
deepseek-v3.2-or,religions,26,163,0.95,19,1,20,train
deepseek-v3.2-or,religions,14,100,0.2,4,16,20,train
deepseek-v3.2-or,religions,90,131,0.1,2,18,20,train
deepseek-v3.2-or,religions,100,163,0.25,5,15,20,train
deepseek-v3.2-or,religions,104,122,0.75,15,5,20,train
deepseek-v3.2-or,religions,5,123,0.25,5,15,20,train
deepseek-v3.2-or,religions,3,90,0.35,7,13,20,train
deepseek-v3.2-or,religions,17,158,0.3,6,14,20,train
deepseek-v3.2-or,religions,27,106,0.9,18,2,20,train
deepseek-v3.2-or,religions,91,112,0.7,14,6,20,train
deepseek-v3.2-or,religions,22,70,1,20,0,20,train
deepseek-v3.2-or,religions,124,135,0,0,20,20,train
deepseek-v3.2-or,religions,120,165,0.15,3,17,20,train
deepseek-v3.2-or,religions,5,18,0.15,3,17,20,train
deepseek-v3.2-or,religions,11,18,0,0,20,20,train
deepseek-v3.2-or,religions,67,153,0.3,6,14,20,train
deepseek-v3.2-or,religions,99,152,0.85,17,3,20,train
deepseek-v3.2-or,religions,94,114,0.8,16,4,20,train
deepseek-v3.2-or,religions,21,128,0.7,14,6,20,train
deepseek-v3.2-or,religions,118,127,0,0,20,20,train
deepseek-v3.2-or,religions,67,102,0.2,4,16,20,train
deepseek-v3.2-or,religions,24,133,0.5,10,10,20,train
deepseek-v3.2-or,religions,9,36,0.75,15,5,20,train
deepseek-v3.2-or,religions,8,125,0.1,2,18,20,train
deepseek-v3.2-or,religions,68,140,0.9,18,2,20,train
deepseek-v3.2-or,religions,53,133,0.75,15,5,20,train
deepseek-v3.2-or,religions,15,144,0.9,18,2,20,train
deepseek-v3.2-or,religions,23,80,0.2,4,16,20,train
deepseek-v3.2-or,religions,18,123,0.6,12,8,20,train
deepseek-v3.2-or,religions,31,86,0.9,18,2,20,train
deepseek-v3.2-or,religions,59,132,0.15,3,17,20,train
deepseek-v3.2-or,religions,78,167,0.1,2,18,20,train
deepseek-v3.2-or,religions,59,127,0.1,2,18,20,train
deepseek-v3.2-or,religions,104,152,0.8,16,4,20,train
deepseek-v3.2-or,religions,12,151,0.8,16,4,20,train
deepseek-v3.2-or,religions,31,99,0.15,3,17,20,train
deepseek-v3.2-or,religions,32,68,0.15,3,17,20,train
deepseek-v3.2-or,religions,124,125,0,0,20,20,train
deepseek-v3.2-or,religions,40,98,0.3,6,14,20,train
deepseek-v3.2-or,religions,46,49,0.1,2,18,20,train
deepseek-v3.2-or,religions,83,148,0.95,19,1,20,train
deepseek-v3.2-or,religions,86,114,0.5,10,10,20,train
deepseek-v3.2-or,religions,45,127,0.85,17,3,20,train
deepseek-v3.2-or,religions,32,126,0.45,9,11,20,train
deepseek-v3.2-or,religions,49,60,1,20,0,20,train
deepseek-v3.2-or,religions,22,167,0.5,10,10,20,train
deepseek-v3.2-or,religions,2,72,0.1,2,18,20,train
deepseek-v3.2-or,religions,14,127,0.3,6,14,20,train
deepseek-v3.2-or,religions,10,65,0.8,16,4,20,train
deepseek-v3.2-or,religions,80,162,1,20,0,20,train
deepseek-v3.2-or,religions,4,34,0.2,4,16,20,train
deepseek-v3.2-or,religions,124,127,0,0,20,20,train
deepseek-v3.2-or,religions,49,89,0.9,18,2,20,train
deepseek-v3.2-or,religions,32,147,0.5,10,10,20,train
deepseek-v3.2-or,religions,90,95,0,0,20,20,train
deepseek-v3.2-or,religions,62,89,0.85,17,3,20,train
deepseek-v3.2-or,religions,37,67,0.1,2,18,20,train
deepseek-v3.2-or,religions,118,124,0,0,20,20,train
deepseek-v3.2-or,religions,17,52,0.15,3,17,20,train
deepseek-v3.2-or,religions,100,125,0.65,13,7,20,train
deepseek-v3.2-or,religions,34,131,0.2,4,16,20,train
deepseek-v3.2-or,religions,30,153,0.25,5,15,20,train
deepseek-v3.2-or,religions,75,78,0.05,1,19,20,train
deepseek-v3.2-or,religions,47,59,0.9,18,2,20,train
deepseek-v3.2-or,religions,99,126,0.65,13,7,20,train
deepseek-v3.2-or,religions,37,38,0,0,20,20,train
deepseek-v3.2-or,religions,52,162,1,20,0,20,train
deepseek-v3.2-or,religions,17,111,0.2,4,16,20,train
deepseek-v3.2-or,religions,60,150,0.3,6,14,20,train
deepseek-v3.2-or,religions,28,34,0,0,20,20,train
deepseek-v3.2-or,religions,32,88,0.7,14,6,20,train
deepseek-v3.2-or,religions,122,141,0.85,17,3,20,train
deepseek-v3.2-or,religions,53,160,0.95,19,1,20,train
deepseek-v3.2-or,religions,58,151,0.1,2,18,20,train
deepseek-v3.2-or,religions,97,157,0.25,5,15,20,train
deepseek-v3.2-or,religions,108,127,0.65,13,7,20,train
deepseek-v3.2-or,religions,91,126,0.1,2,18,20,train
deepseek-v3.2-or,religions,5,98,0.2,4,16,20,train
deepseek-v3.2-or,religions,123,135,0,0,20,20,train
deepseek-v3.2-or,religions,7,112,0.6,12,8,20,train
deepseek-v3.2-or,religions,122,152,0.3,6,14,20,train
deepseek-v3.2-or,religions,74,80,0,0,20,20,train
deepseek-v3.2-or,religions,103,117,0.7,14,6,20,train
deepseek-v3.2-or,religions,3,34,0.25,5,15,20,train
deepseek-v3.2-or,religions,118,157,0.25,5,15,20,train
deepseek-v3.2-or,religions,110,120,0.85,17,3,20,train
deepseek-v3.2-or,religions,33,114,0.7,14,6,20,train
deepseek-v3.2-or,religions,70,74,0,0,20,20,train
deepseek-v3.2-or,religions,113,121,0,0,20,20,train
deepseek-v3.2-or,religions,70,163,0.3,6,14,20,train
deepseek-v3.2-or,religions,55,97,0.95,19,1,20,train
deepseek-v3.2-or,religions,99,147,0.85,17,3,20,train
deepseek-v3.2-or,religions,89,123,0.1,2,18,20,train
deepseek-v3.2-or,religions,145,147,0,0,20,20,train
deepseek-v3.2-or,religions,4,28,0.8,16,4,20,train
deepseek-v3.2-or,religions,102,126,0.8,16,4,20,train
deepseek-v3.2-or,religions,60,123,0.15,3,17,20,train
deepseek-v3.2-or,religions,55,118,1,20,0,20,train
deepseek-v3.2-or,religions,14,118,0.8,16,4,20,train
deepseek-v3.2-or,religions,52,78,0.85,17,3,20,train
deepseek-v3.2-or,religions,128,164,0.3,6,14,20,train
deepseek-v3.2-or,religions,14,26,0.05,1,19,20,train
deepseek-v3.2-or,religions,74,79,0,0,20,20,train
deepseek-v3.2-or,religions,45,106,0.15,3,17,20,train
deepseek-v3.2-or,religions,48,109,0.25,5,15,20,train
deepseek-v3.2-or,religions,5,10,0.05,1,19,20,train
deepseek-v3.2-or,religions,111,118,0.9,18,2,20,train
deepseek-v3.2-or,religions,37,143,0.9,18,2,20,train
deepseek-v3.2-or,religions,83,158,0.95,19,1,20,train
deepseek-v3.2-or,religions,89,150,0.1,2,18,20,train
deepseek-v3.2-or,religions,0,153,0.3,6,14,20,train
deepseek-v3.2-or,religions,47,105,0.3,6,14,20,train
deepseek-v3.2-or,religions,27,127,0.8,16,4,20,train
deepseek-v3.2-or,religions,122,143,0.85,17,3,20,train
deepseek-v3.2-or,religions,77,112,0.85,17,3,20,train
deepseek-v3.2-or,religions,45,125,0.85,17,3,20,train
deepseek-v3.2-or,religions,62,146,0.5,10,10,20,train
deepseek-v3.2-or,religions,49,92,1,20,0,20,train
deepseek-v3.2-or,religions,39,147,0.95,19,1,20,train
deepseek-v3.2-or,religions,92,151,0,0,20,20,train
deepseek-v3.2-or,religions,65,151,0.1,2,18,20,train
deepseek-v3.2-or,religions,21,156,0.85,17,3,20,train
deepseek-v3.2-or,religions,14,59,0.9,18,2,20,train
deepseek-v3.2-or,religions,26,125,0.75,15,5,20,train
deepseek-v3.2-or,religions,38,147,0.85,17,3,20,train
deepseek-v3.2-or,religions,23,130,0.9,18,2,20,train
deepseek-v3.2-or,religions,14,27,0,0,20,20,train
deepseek-v3.2-or,religions,39,153,0.5,10,10,20,train
deepseek-v3.2-or,religions,72,129,0.05,1,19,20,train
deepseek-v3.2-or,religions,53,128,0.95,19,1,20,train
deepseek-v3.2-or,religions,104,147,0.85,17,3,20,train
deepseek-v3.2-or,religions,52,100,0.95,19,1,20,train
deepseek-v3.2-or,religions,2,34,0.2,4,16,20,train
deepseek-v3.2-or,religions,124,157,0.75,15,5,20,train
deepseek-v3.2-or,religions,26,154,0.9,18,2,20,train
deepseek-v3.2-or,religions,79,80,0,0,20,20,train
deepseek-v3.2-or,religions,85,94,0,0,20,20,train
deepseek-v3.2-or,religions,68,112,0.85,17,3,20,train
deepseek-v3.2-or,religions,140,145,0.05,1,19,20,train
deepseek-v3.2-or,religions,74,148,0.8,16,4,20,train
deepseek-v3.2-or,religions,30,31,0,0,20,20,train
deepseek-v3.2-or,religions,5,38,0.15,3,17,20,train
deepseek-v3.2-or,religions,37,102,0.15,3,17,20,train
deepseek-v3.2-or,religions,37,126,0.15,3,17,20,train
deepseek-v3.2-or,religions,20,48,0.4,8,12,20,train
deepseek-v3.2-or,religions,4,95,0.35,7,13,20,train
deepseek-v3.2-or,religions,99,145,0.95,19,1,20,train
deepseek-v3.2-or,religions,21,139,0.05,1,19,20,train
deepseek-v3.2-or,religions,22,100,0.95,19,1,20,train
deepseek-v3.2-or,religions,2,95,0.15,3,17,20,train
deepseek-v3.2-or,religions,33,113,0.65,13,7,20,train
deepseek-v3.2-or,religions,15,18,0,0,20,20,train
deepseek-v3.2-or,religions,38,153,0.2,4,16,20,train
deepseek-v3.2-or,religions,101,122,0.75,15,5,20,train
deepseek-v3.2-or,religions,65,98,0.2,4,16,20,train
deepseek-v3.2-or,religions,67,94,0.8,16,4,20,train
deepseek-v3.2-or,religions,83,108,0.85,17,3,20,train
deepseek-v3.2-or,religions,52,70,1,20,0,20,train
deepseek-v3.2-or,religions,77,92,0.9,18,2,20,train
deepseek-v3.2-or,religions,49,65,0.9,18,2,20,train
deepseek-v3.2-or,religions,71,85,1,20,0,20,train
deepseek-v3.2-or,religions,47,124,0.9,18,2,20,train
deepseek-v3.2-or,religions,45,81,0.15,3,17,20,train
deepseek-v3.2-or,religions,122,140,0.9,18,2,20,train
deepseek-v3.2-or,religions,27,59,0.9,18,2,20,train
deepseek-v3.2-or,religions,40,46,0,0,20,20,train
deepseek-v3.2-or,religions,65,69,0,0,20,20,train
deepseek-v3.2-or,religions,21,50,0.1,2,18,20,train
deepseek-v3.2-or,religions,82,162,0.9,18,2,20,train
deepseek-v3.2-or,religions,7,143,0.85,17,3,20,train
deepseek-v3.2-or,religions,110,139,0,0,20,20,train
deepseek-v3.2-or,religions,39,140,0.85,17,3,20,train
deepseek-v3.2-or,religions,45,61,1,20,0,20,train
deepseek-v3.2-or,religions,7,37,0,0,20,20,train
deepseek-v3.2-or,religions,110,136,0.65,13,7,20,train
deepseek-v3.2-or,religions,75,162,0.1,2,18,20,train
deepseek-v3.2-or,religions,133,160,0.85,17,3,20,train
deepseek-v3.2-or,religions,47,148,0.95,19,1,20,train
deepseek-v3.2-or,religions,38,143,0.95,19,1,20,train
deepseek-v3.2-or,religions,45,105,0.45,9,11,20,train
deepseek-v3.2-or,religions,158,163,0.05,1,19,20,train
deepseek-v3.2-or,religions,117,143,0.9,18,2,20,train
deepseek-v3.2-or,religions,80,165,0.1,2,18,20,train
deepseek-v3.2-or,religions,68,122,0.8,16,4,20,train
deepseek-v3.2-or,religions,30,114,0.65,13,7,20,train
deepseek-v3.2-or,religions,94,159,0.1,2,18,20,train
deepseek-v3.2-or,religions,112,123,0,0,20,20,train
deepseek-v3.2-or,religions,62,77,0,0,20,20,train
deepseek-v3.2-or,religions,79,154,0.85,17,3,20,train
deepseek-v3.2-or,religions,26,47,0.75,15,5,20,train
deepseek-v3.2-or,religions,31,119,0.3,6,14,20,train
deepseek-v3.2-or,religions,40,62,0.9,18,2,20,train
deepseek-v3.2-or,religions,40,150,0.9,18,2,20,train
deepseek-v3.2-or,religions,107,109,0,0,20,20,train
deepseek-v3.2-or,religions,0,152,0.25,5,15,20,train
deepseek-v3.2-or,religions,118,148,0.45,9,11,20,train
deepseek-v3.2-or,religions,24,107,0.7,14,6,20,train
deepseek-v3.2-or,religions,64,92,0.35,7,13,20,train
deepseek-v3.2-or,religions,100,118,0.8,16,4,20,train
deepseek-v3.2-or,religions,150,151,0.05,1,19,20,train
deepseek-v3.2-or,religions,34,36,0.05,1,19,20,train
deepseek-v3.2-or,religions,21,109,0.1,2,18,20,train
deepseek-v3.2-or,religions,108,135,0.5,10,10,20,train
deepseek-v3.2-or,religions,103,122,0.7,14,6,20,train
deepseek-v3.2-or,religions,15,60,0.8,16,4,20,train
deepseek-v3.2-or,religions,10,62,0.85,17,3,20,train
deepseek-v3.2-or,religions,71,143,0.95,19,1,20,train
deepseek-v3.2-or,religions,40,89,0.95,19,1,20,train
deepseek-v3.2-or,religions,24,48,0.6,12,8,20,train
deepseek-v3.2-or,religions,19,70,0.95,19,1,20,train
deepseek-v3.2-or,religions,101,126,0.65,13,7,20,train
deepseek-v3.2-or,religions,5,126,0.1,2,18,20,train
deepseek-v3.2-or,religions,47,81,0.15,3,17,20,train
deepseek-v3.2-or,religions,22,154,0.95,19,1,20,train
deepseek-v3.2-or,religions,29,122,0.15,3,17,20,train
deepseek-v3.2-or,religions,45,132,0.15,3,17,20,train
deepseek-v3.2-or,religions,134,137,0,0,20,20,train
deepseek-v3.2-or,religions,79,136,0.05,1,19,20,train
deepseek-v3.2-or,religions,102,152,0.75,15,5,20,train
deepseek-v3.2-or,religions,70,158,0.15,3,17,20,train
deepseek-v3.2-or,religions,17,78,0.05,1,19,20,train
deepseek-v3.2-or,religions,28,131,0.2,4,16,20,train
deepseek-v3.2-or,religions,74,78,0,0,20,20,train
deepseek-v3.2-or,religions,68,102,0.2,4,16,20,train
deepseek-v3.2-or,religions,45,163,0.15,3,17,20,train
deepseek-v3.2-or,religions,139,165,0.95,19,1,20,train
deepseek-v3.2-or,religions,47,127,0.85,17,3,20,train
deepseek-v3.2-or,religions,72,103,0.05,1,19,20,train
deepseek-v3.2-or,religions,5,99,0.15,3,17,20,train
deepseek-v3.2-or,religions,130,156,0.9,18,2,20,train
deepseek-v3.2-or,religions,98,150,0.75,15,5,20,train
deepseek-v3.2-or,religions,5,77,0.2,4,16,20,train
deepseek-v3.2-or,religions,99,153,0.95,19,1,20,train
deepseek-v3.2-or,religions,2,117,0.1,2,18,20,train
deepseek-v3.2-or,religions,22,55,0.1,2,18,20,train
deepseek-v3.2-or,religions,156,165,0,0,20,20,train
deepseek-v3.2-or,religions,55,148,0.95,19,1,20,train
deepseek-v3.2-or,religions,33,94,0.2,4,16,20,train
deepseek-v3.2-or,religions,68,153,0.2,4,16,20,train
deepseek-v3.2-or,religions,23,48,0.95,19,1,20,train
deepseek-v3.2-or,religions,112,146,0.55,11,9,20,train
deepseek-v3.2-or,religions,17,20,0,0,20,20,train
deepseek-v3.2-or,religions,61,132,0.15,3,17,20,train
deepseek-v3.2-or,religions,128,133,0,0,20,20,train
deepseek-v3.2-or,religions,5,91,0.3,6,14,20,train
deepseek-v3.2-or,religions,8,45,0.075,1.5,18.5,20,train
deepseek-v3.2-or,religions,38,91,1,20,0,20,train
deepseek-v3.2-or,religions,58,146,0.25,5,15,20,train
deepseek-v3.2-or,religions,94,147,0.85,17,3,20,train
deepseek-v3.2-or,religions,8,118,0.7,14,6,20,train
deepseek-v3.2-or,religions,32,101,0.15,3,17,20,train
deepseek-v3.2-or,religions,36,90,0.85,17,3,20,train
deepseek-v3.2-or,religions,88,141,0.8,16,4,20,train
deepseek-v3.2-or,religions,75,83,0,0,20,20,train
deepseek-v3.2-or,religions,8,44,0.1,2,18,20,train
deepseek-v3.2-or,religions,145,153,0,0,20,20,train
deepseek-v3.2-or,religions,61,144,0.85,17,3,20,train
deepseek-v3.2-or,religions,128,139,0,0,20,20,train
deepseek-v3.2-or,religions,26,158,0.9,18,2,20,train
deepseek-v3.2-or,religions,31,94,0.15,3,17,20,train
deepseek-v3.2-or,religions,57,95,0.05,1,19,20,train
deepseek-v3.2-or,religions,69,99,0.05,1,19,20,train
deepseek-v3.2-or,religions,23,136,0.15,3,17,20,train
deepseek-v3.2-or,religions,35,57,0.95,19,1,20,train
deepseek-v3.2-or,religions,71,103,0.15,3,17,20,train
deepseek-v3.2-or,religions,21,136,0.05,1,19,20,train
deepseek-v3.2-or,religions,135,146,1,20,0,20,train
deepseek-v3.2-or,religions,89,135,0,0,20,20,train
deepseek-v3.2-or,religions,74,158,0.55,11,9,20,train
deepseek-v3.2-or,religions,15,65,0.9,18,2,20,train
