pair_uid,judge_index,vote_raw,winner_condition,success
highlow_main:essay:deepseek-v3.2-or:religions:8:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:8:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:8:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:9:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:9:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:9:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:9:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:9:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:9:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:10:0,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:10:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:10:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:10:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:10:1,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:10:1,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:11:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:11:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:11:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:11:1,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:11:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:11:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:12:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:12:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:12:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:12:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:12:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:12:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:13:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:13:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:13:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:13:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:13:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:13:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:14:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:14:0,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:14:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:14:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:14:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:14:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:15:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:15:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:15:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:15:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:15:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:15:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:16:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:16:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:16:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:16:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:16:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:16:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:17:0,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:17:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:17:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:17:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:17:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:17:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:18:0,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:18:0,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:18:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:18:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:18:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:18:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:19:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:19:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:19:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:19:1,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:19:1,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:19:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:20:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:20:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:20:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:20:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:20:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:20:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:21:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:21:0,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:21:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:21:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:21:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:21:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:22:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:22:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:22:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:22:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:22:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:22:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:23:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:23:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:23:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:23:1,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:23:1,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:23:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:24:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:24:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:24:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:24:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:24:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:24:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:25:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:25:0,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:25:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:25:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:25:1,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:25:1,3,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:26:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:26:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:26:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:26:1,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:26:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:26:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:27:0,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:27:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:27:0,3,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:27:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:27:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:27:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:28:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:28:0,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:28:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:28:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:28:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:28:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:29:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:29:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:29:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:29:1,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:29:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:29:1,3,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:30:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:30:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:30:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:30:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:30:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:30:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:31:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:31:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:31:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:31:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:31:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:31:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:32:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:32:0,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:32:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:32:1,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:32:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:32:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:33:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:33:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:33:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:33:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:33:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:33:1,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:34:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:34:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:34:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:34:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:34:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:34:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:35:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:35:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:35:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:35:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:35:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:35:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:36:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:36:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:36:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:36:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:36:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:36:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:37:0,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:37:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:37:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:37:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:37:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:37:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:38:0,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:38:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:38:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:38:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:38:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:38:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:39:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:39:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:39:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:39:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:39:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:39:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:40:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:40:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:40:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:40:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:40:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:40:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:41:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:41:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:41:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:41:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:41:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:41:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:42:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:42:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:42:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:42:1,1,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:42:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:42:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:43:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:43:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:43:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:43:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:43:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:43:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:44:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:44:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:44:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:44:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:44:1,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:44:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:45:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:45:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:45:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:45:1,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:45:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:45:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:46:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:46:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:46:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:46:1,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:46:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:46:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:47:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:47:0,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:47:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:47:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:47:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:47:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:48:0,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:48:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:48:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:48:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:48:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:48:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:49:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:49:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:49:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:49:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:49:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:49:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:50:0,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:50:0,2,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:50:0,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:50:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:50:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:50:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:51:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:51:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:51:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:51:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:51:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:51:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:52:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:52:0,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:52:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:52:1,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:52:1,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:52:1,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:53:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:53:0,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:53:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:53:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:53:1,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:53:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:54:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:54:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:54:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:54:1,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:54:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:54:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:55:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:55:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:55:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:55:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:55:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:55:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:56:0,1,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:56:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:56:0,3,Y,high,true
highlow_main:essay:deepseek-v3.2-or:religions:56:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:56:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:56:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:57:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:57:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:57:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:57:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:57:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:57:1,3,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:58:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:58:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:58:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:58:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:58:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:58:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:59:0,1,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:59:0,2,TIE,tie,true
highlow_main:essay:deepseek-v3.2-or:religions:59:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:59:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:59:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:59:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:60:0,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:60:0,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:60:0,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:60:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:60:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:60:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:61:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:61:0,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:61:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:61:1,1,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:61:1,2,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:61:1,3,X,low,true
highlow_main:essay:deepseek-v3.2-or:religions:62:0,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:62:0,2,Y,low,true
highlow_main:essay:deepseek-v3.2-or:religions:62:0,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:62:1,1,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:62:1,2,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:62:1,3,X,high,true
highlow_main:essay:deepseek-v3.2-or:religions:63:0,1,X,high,true
